child_number,age_of_mother,age_of_child,p
1,45,10,0.0645739910313901
1,45,11,0.0493273542600897
1,45,12,0.0681614349775785
1,45,13,0.0502242152466368
1,45,14,0.0547085201793722
1,45,15,0.0609865470852018
1,45,16,0.0511210762331839
1,45,17,0.0484304932735426
1,45,18,0.0493273542600897
1,45,19,0.0403587443946188
1,45,20,0.0367713004484305
1,45,21,0.0340807174887892
1,45,22,0.0304932735426009
1,45,23,0.020627802690583
1,45,24,0.0143497757847534
1,45,25,0.00717488789237668
1,45,26,0.0062780269058296
1,45,27,0.00358744394618834
1,45,28,0.00269058295964126
1,45,29,0.00358744394618834
1,46,0,0.00437062937062937
1,46,1,0.0034965034965035
1,46,2,0.00524475524475524
1,46,3,0.0166083916083916
1,46,4,0.0192307692307692
1,46,5,0.0340909090909091
1,46,6,0.0332167832167832
1,46,7,0.0340909090909091
1,46,8,0.0463286713286713
1,46,9,0.0358391608391608
1,46,10,0.0428321678321678
1,46,11,0.0533216783216783
1,46,12,0.0646853146853147
1,46,13,0.0550699300699301
1,46,14,0.0629370629370629
1,46,15,0.0664335664335664
1,46,16,0.0655594405594406
1,46,17,0.0541958041958042
1,46,18,0.0393356643356643
1,46,19,0.0585664335664336
1,46,20,0.0332167832167832
1,46,21,0.041958041958042
1,46,22,0.0367132867132867
1,46,23,0.020979020979021
1,46,24,0.0236013986013986
1,46,25,0.0148601398601399
1,46,26,0.0122377622377622
1,46,27,0.00786713286713287
1,46,28,0.00874125874125874
1,46,29,0.00174825174825175
1,46,30,0.00174825174825175
1,46,31,8.74125874125874e-4
1,47,0,0.00344827586206897
1,47,1,0.00172413793103448
1,47,2,0.00258620689655172
1,47,3,0.00603448275862069
1,47,4,0.0137931034482759
1,47,5,0.0120689655172414
1,47,6,0.0258620689655172
1,47,7,0.0258620689655172
1,47,8,0.0456896551724138
1,47,9,0.0405172413793103
1,47,10,0.0387931034482759
1,47,11,0.0517241379310345
1,47,12,0.0620689655172414
1,47,13,0.0612068965517241
1,47,14,0.05
1,47,15,0.0577586206896552
1,47,16,0.0560344827586207
1,47,17,0.0577586206896552
1,47,18,0.0474137931034483
1,47,19,0.0620689655172414
1,47,20,0.0508620689655172
1,47,21,0.05
1,47,22,0.0327586206896552
1,47,23,0.0370689655172414
1,47,24,0.0258620689655172
1,47,25,0.0275862068965517
1,47,26,0.0172413793103448
1,47,27,0.0172413793103448
1,47,28,0.0103448275862069
1,47,29,0.00344827586206897
1,47,30,0.00258620689655172
1,47,31,0.00172413793103448
1,47,33,8.62068965517241e-4
1,48,0,0.0029940119760479
1,48,1,0.00224550898203593
1,48,2,0.00224550898203593
1,48,3,0.00224550898203593
1,48,4,0.00673652694610778
1,48,5,0.0104790419161677
1,48,6,0.0134730538922156
1,48,7,0.0224550898203593
1,48,8,0.0232035928143713
1,48,9,0.0291916167664671
1,48,10,0.0389221556886228
1,48,11,0.0441616766467066
1,48,12,0.0486526946107784
1,48,13,0.0516467065868263
1,48,14,0.0516467065868263
1,48,15,0.0703592814371257
1,48,16,0.0531437125748503
1,48,17,0.0576347305389222
1,48,18,0.0583832335329341
1,48,19,0.0561377245508982
1,48,20,0.0568862275449102
1,48,21,0.0471556886227545
1,48,22,0.0486526946107784
1,48,23,0.0471556886227545
1,48,24,0.0434131736526946
1,48,25,0.0329341317365269
1,48,26,0.0209580838323353
1,48,27,0.0179640718562874
1,48,28,0.0149700598802395
1,48,29,0.00973053892215569
1,48,30,0.00598802395209581
1,48,31,0.00673652694610778
1,48,32,7.48502994011976e-4
1,48,33,7.48502994011976e-4
1,49,1,7.44047619047619e-4
1,49,2,0.0037202380952381
1,49,4,0.00520833333333333
1,49,5,0.00595238095238095
1,49,6,0.00967261904761905
1,49,7,0.0148809523809524
1,49,8,0.0171130952380952
1,49,9,0.0230654761904762
1,49,10,0.0275297619047619
1,49,11,0.0297619047619048
1,49,12,0.0394345238095238
1,49,13,0.0520833333333333
1,49,14,0.0461309523809524
1,49,15,0.0416666666666667
1,49,16,0.046875
1,49,17,0.0550595238095238
1,49,18,0.0639880952380952
1,49,19,0.0662202380952381
1,49,20,0.0513392857142857
1,49,21,0.0602678571428571
1,49,22,0.0632440476190476
1,49,23,0.0617559523809524
1,49,24,0.0550595238095238
1,49,25,0.0453869047619048
1,49,26,0.0364583333333333
1,49,27,0.0238095238095238
1,49,28,0.0223214285714286
1,49,29,0.0163690476190476
1,49,30,0.00595238095238095
1,49,31,0.00148809523809524
1,49,32,0.00446428571428571
1,49,33,0.00148809523809524
1,49,34,0.00148809523809524
1,50,0,0.0014903129657228
1,50,1,0.0014903129657228
1,50,2,7.45156482861401e-4
1,50,3,0.0029806259314456
1,50,4,0.00521609538002981
1,50,5,0.00521609538002981
1,50,6,0.00819672131147541
1,50,7,0.00819672131147541
1,50,8,0.0119225037257824
1,50,9,0.00819672131147541
1,50,10,0.0245901639344262
1,50,11,0.0320417287630402
1,50,12,0.0238450074515648
